question_code,正答率,選択率1,選択率2,選択率3,選択率4,選択率5,識別値,70%以上のフラグ
113A001,98,1.2,98,0.8,0.1,,0.11,〇
113A002,85.2,12.6,85.2,0.7,1.6,,0.26,〇
113A003,71.3,9,6.2,71.3,13.5,,0.28,〇
113A004,75.4,10.3,2.9,11.4,75.4,,0.17,〇
113A005,30.7,3.9,42.5,22.9,30.7,,0.14,×
113A006,95.5,0.1,3.1,95.5,1.3,,0.15,〇
113A007,74.6,22,0.9,74.6,2.5,,0.31,〇
113A008,86.9,2.5,1,9.6,86.9,,0.25,〇
113A009,94.7,1.3,1.4,94.7,2.7,,0.19,〇
113A010,98.8,0.1,0.5,98.8,0.6,,0.06,〇
113A011,66.4,2.5,0.6,66.4,30.5,,0.37,×
113A012,97.8,97.8,0.7,1,0.4,,0.14,〇
113A013,99.3,0.4,99.3,0.3,0.1,,0.07,〇
113A014,83.7,5,9.9,83.7,1.3,,0.25,〇
113A015,98,98,1,0.8,0.2,,0.16,〇
113A016,89.2,6.7,0.7,89.2,3.5,,0.36,〇
113A017,96.5,1.2,0.4,96.5,1.9,,0.17,〇
113A018,91.3,0.5,91.3,3.1,5.2,,0.24,〇
113A019,87.4,87.4,1.3,11.1,0.2,,0.13,〇
113A020,92.9,2.5,1.7,2.9,92.9,,0.12,〇
113A021,95.9,0.5,95.9,0.4,3.2,,0.19,〇
113A022,79.3,6.8,1.1,79.3,12.8,,0.22,〇
113A023,47.2,0.6,1.1,47.2,51.1,,0.11,×
113A024,98.6,0.2,0.1,1.1,98.6,,0.06,〇
113A025,59,3,8.3,8.5,59,21.1,0.45,×
113A026,66.4,3.4,3.7,66.4,26.5,,0.25,×
113A027,11,16.8,11,30.4,41.8,,0.01,×
113A028,27.7,18.9,52.9,27.7,0.5,,0.16,×
113A029,84.4,11.3,84.4,0.7,3.7,,0.39,〇
113A030,44.6,15,18,22.4,44.6,,0.13,×
113A031,36.5,39.4,16.7,36.5,7.4,,0.01,×
113A032,95.6,95.6,0.2,0.2,4,,0.19,〇
113A033,91.4,6.1,0.2,2.4,91.4,,0.13,〇
113A034,86.9,1.7,6.4,86.9,4.9,,0.31,〇
113A035,96.6,0.2,0.4,2.8,96.6,,0.08,〇
113A036,82.6,2.7,82.6,5.1,9.6,,0.36,〇
113A037,30.8,61.5,30.8,7.3,0.4,,0.08,×
113A038,90.2,0.9,2.8,6.1,90.2,,0.26,〇
113A039,94.7,0.9,94.7,0.9,3.5,,0.23,〇
113A040,80.6,0.9,18.2,80.6,0.3,,0.12,〇
113A041,67.2,12.9,67.2,12.4,7.5,,0.24,×
113A042,61.4,23.2,5.4,10,61.4,,0.04,×
113A043,74.1,5.6,15.7,4.6,74.1,,0.14,〇
113A044,45.3,51.6,2.2,45.3,0.9,,0.08,×
113A045,51.1,0.6,51.1,4,44.3,,0.51,×
113A046,91.8,4.1,91.8,0.9,3.2,,0.23,〇
113A047,94.9,2.4,94.9,2.6,0.2,,0.15,〇
113A048,85.2,7.8,2.2,4.8,85.2,,0.26,〇
113A049,93.9,4.6,0.6,0.9,93.9,,0.16,〇
113A050,38.3,7.9,38.3,10.9,42.9,,0.29,×
113A051,25,61.7,1.3,12,25,,0.29,×
113A052,74.1,0.3,74.1,4.6,21,,0.22,〇
113A053,97.4,0.2,1.4,1,97.4,,0.10,〇
113A054,75.2,75.2,4.4,6.8,13.6,,0.11,〇
113A055,78.4,2.7,14.9,4.1,78.4,,0.29,〇
113A056,56.4,14.5,24.6,4.6,56.4,,0.37,×
113A057,39.7,15,39.7,31,14.3,,0.13,×
113A058,52.9,9.2,15.2,22.8,52.9,,0.17,×
113A059,61,15.9,2.1,21,61,,0.55,×
113A060,75.8,2.8,0.9,75.8,20.4,,0.25,〇
113A061,52.5,40.7,52.5,5.3,1.5,,0.06,×
